Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
warframe,"Action, Shooter, RPG, Massively Multiplayer","Warframe situates players as members of the Tenno race, newly awoken after years of cryo-sleep into a solar system at war. Reborn into a corrupt era, the Tenno are sought by the oppressive Grineer Empire for annihilation. Warframe armor is the key to overthrowing the Grineer by providing players with unique offensive and defensive powers to explore, upgrade and master during purpose-driven radical raids.",Все возрастные группы,Средняя,Нет данных
metro 2033,"Action, Shooter","Metro 2033 is a browser game, a Flash application hosted on the social networks VKontakte, Odnoklassniki, and Mail.ru. Officially available only on the PC platform, but in July 2022 a version was released on the HTML5 engine that allows you to play on the phone.

Metro 2033 invites you to plunge into the cruel world of the Moscow metro, where survivors of a terrible nuclear disaster live. The player will have exciting journeys through abandoned tunnels full of secrets and dangers, raids on the radioactive surface of dilapidated Moscow, battles with mutants and other stalkers.

Grow your battle pet, create a clan, join one faction or another, protect the metro from a terrible external threat - the mysterious ""blacks"".

At the moment, players have access to an incredibly wide arsenal of real weapons and equipment, dozens of habitable metro stations, hundreds of exciting story and side quests, exciting battles with mutants, other players and friends.",Mature,Высокая,Нет конкурентов
rise of the tomb raider,Action,Нет описания,Все возрастные группы,Высокая,Нет данных
metal gear solid v: the phantom pain,"Action, Shooter","Metal Gear Solid V: The Phantom Pain is the final game in the Metal Gear series. It is the sequel to Metal Gear Solid V: Ground Zeroes released the year before and a prequel to the original Metal Gear. The game has a complex story with long cut-scene sequences, but there are fewer and they are shorter compared to earlier Metal Gear Solid titles. Most of the gameplay mechanics introduced in Ground Zeroes are carried over: it is still an action game and stealth oriented but replaces the linear corridor design from most earlier titles with large open world environments that offer the player unrestricted freedom for the approach. The world has now a real-time day and night cycle and various weather effects that influence enemy behaviour, visibility and sound. Sabotaging or destroying certain structures can also influence other parts of the map.",Mature,Высокая,"Soldier Front 2, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, The Lost Valley"
batman: arkham knight,Action,"Batman: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile. The highly anticipated addition of this legendary vehicle, combined with the acclaimed gameplay of the Arkham series, offers gamers the ultimate and complete Batman experience as they tear through the streets and soar across the skyline of the entirety of Gotham City. In this explosive finale, Batman faces the ultimate threat against the city that he is sworn to protect, as Scarecrow returns to unite the super criminals of Gotham and destroy the Batman forever.",Mature,Высокая,Нет конкурентов
half-life 2: lost coast,Action,"Originally planned as a section of the Highway 17 chapter of Half-Life 2, Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.",Mature,Низкая,"Soldier Front 2, Mobile Suit Gundam Battle Operation 2, Malevolence, Chex Quest 4: Flemmed to The Core, Zombie Driver"
the witcher 2: assassins of kings enhanced edition,RPG,Нет описания,Mature,Высокая,Нет данных
grand theft auto: san andreas,Action,"Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.",Mature,Высокая,Нет данных
the witcher: enhanced edition director's cut,"Action, RPG","Assume the role of The Witcher, Geralt, a legendary monster slayer caught in a web of intrigue as he battles forces vying for control of the world. Make difficult decisions and live with the consequences in a game that will immerse you in an extraordinary tale like no other.",Mature,Высокая,Нет конкурентов
the walking dead: season 1,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
apex legends,"Action, Shooter",Нет описания,Teen,Высокая,Нет данных
middle-earth: shadow of mordor,"Action, RPG",Нет описания,Mature,Высокая,Нет конкурентов
half-life 2: episode one,"Action, Shooter",Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17.,Mature,Высокая,Нет данных
half-life 2: episode two,"Action, Shooter, Puzzle","The second episodic sequel to one of the most influential first-person shooters of its time, Half-Life 2.",Mature,Высокая,Нет данных
hollow knight,"Action, Indie, Platformer","A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.",Everyone 10+,Высокая,Нет данных
bioshock 2,"Action, Shooter","BioShock 2 is the second game of the BioShock series and the sequel to BioShock. It continues the grand storyline of the underwater metropolis Rapture. BioShock 2 capitalizes and improves upon the high-quality effects, unique gameplay elements, and immersive atmosphere that defined the first game. It explores more brutal gameplay than its predecessor, with new enemies, weapons, Plasmids, and Gene Tonics.",Все возрастные группы,Высокая,Нет данных
little nightmares,"Action, Platformer","Little Nightmares is a puzzle-platform horror adventure game developed by Tarsier Studios and published by Bandai Namco Entertainment. Set in a mysterious world, Little Nightmares follows the journey of Six, a hungry little girl who must escape the Maw, an iron vessel inhabited by monstrous, twisted beings.",Teen,Высокая,Нет данных
hitman,"Action, Shooter, Simulation",Нет описания,Adults Only,Высокая,Нет данных
half-life,"Action, Shooter","Half-Life for Dreamcast is a console port of Half-Life for the Sega Dreamcast developed by Gearbox Software and Captivation Digital Laboratories with the assistance of Sierra Entertainment and Valve Software. It was cancelled only a few weeks away from its projected release date.
The port was to feature a new, exclusive mission pack called Half-Life: Blue Shift, along with better visuals and effects.",Mature,Высокая,Нет данных
dark souls iii,"Action, RPG","Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and embrace the darkness!",Mature,Высокая,Нет данных
mirror's edge,Action,"Mirror's Edge is a side-scrolling platform game developed by IronMonkey Studios and published by Electronic Arts. It was released for the iPod on September 2, 2009, for iPad and iPhone on April 1, 2010, and later for Windows Phone on July 13, 2012. The game is a prequel to the original Mirror's Edge, setting the scene about Runners and the city's shady corporations.",Teen,Высокая,Нет данных
hotline miami,"Action, Shooter, Arcade, Indie","A top-down slasher/shooter with unlockable gameplay-altering masks and weapons, featuring a neon-flavoured electronic aesthetic, in which a hitman receives anonymous calls ordering him to travel to certain residences and crime dens and massacre those within, as he stumbles through unreal visions and inconsistencies without any answers to how, why or who.",Все возрастные группы,Высокая,"Soldier Front 2, Bubble Whirl Shooter, Road Doom, Meat & Greed, LiMiT's Escape Room Games"
outlast,"Action, Indie","Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",Mature,Высокая,Нет данных
deus ex: mankind divided,"Action, RPG","Deus Ex: Mankind Divided directly follows the aftermath of the Aug Incident, a day when mechanically augmented citizens all over the world were stripped of control over their minds and bodies, resulting in the deaths of millions of innocents. The year is now 2029, and the golden era of augmentations is over. Mechanically augmented humans have been deemed outcasts and segregated from the rest of society. Crime and acts of terror serve as a thin veil to cover up an overarching conspiracy aimed at controlling the future of mankind…",Mature,Высокая,Нет конкурентов
half-life 2: deathmatch,Action,Нет описания,Mature,Низкая,Нет данных
bioshock remastered,Shooter,"BioShock Remastered was released as a part of BioShock: The Collection and also available separately for PC. The remastered version has achievements, full controller support, high resolution textures, models and interface, and 4K resolution support.",Mature,Низкая,Нет данных
far cry 3,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
marvel's spider-man,Action,Нет описания,Teen,Высокая,Нет конкурентов
stardew valley,"RPG, Simulation, Indie","Stardew Valley is an open-ended country-life RPG! You’ve inherited your grandfather’s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It won’t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the town’s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!",Everyone 10+,Высокая,"Blood Bowl 3: Black Orcs Edition, Pet Puzzle, Road Doom, Meat & Greed, Star Wars: X-Wing Tour of Duty - Imperial Pursuit"
spec ops: the line,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
amnesia: the dark descent,"Action, Adventure, Indie",Нет описания,Mature,Высокая,Нет конкурентов
alan wake,"Action, Shooter, Adventure","Presented in the style of a TV series, Alan Wake features the trademark Remedy storytelling and pulse-pounding action sequences. As players dive deeper and deeper into the mystery, they’ll face overwhelming odds, plot twists, and cliffhangers. It’s only by mastering the Fight With Light combat mechanic that they can stay one step ahead of the darkness that spreads across Bright Falls.

With the body of an action game and the mind of a psychological thriller, Alan Wake’s intense atmosphere, deep and multi-layered story, and exceptionally tense combat sequences provide players with an entertaining and original gaming experience.",Teen,Высокая,Нет данных
path of exile,"Action, RPG, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
wolfenstein: the new order,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
playerunknown’s battlegrounds,"Action, Shooter, Massively Multiplayer",Нет описания,Все возрастные группы,Высокая,Нет данных
saints row: the third,"Action, Adventure",Нет описания,Mature,Высокая,"Soldier Front 2, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, The Lost Valley"
detroit: become human,"Action, Adventure","Detroit: Become Human puts the destiny of both mankind and androids in your hands, taking you to a near future where machines have become more intelligent than humans. Every choice you make affects the outcome of the game, with one of the most intricately branching narratives ever created.",Mature,Высокая,Нет данных
garry's mod,"Action, Adventure, Simulation, Casual, Indie","Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.

You spawn objects and weld them together to create your own contraptions - whether that's a car, a rocket, a catapult or something that doesn't have a name yet - that's up to you. You can do it offline, or join the thousands of players who play online each day.

If you're not too great at construction - don't worry! You can place a variety of characters in silly positions. But if you want to do more, we have the means.",Rating Pending,Низкая,Нет данных
prey,"Action, Shooter, RPG","Prey tells the story of Tommy, a Cherokee garage mechanic stuck on a reservation going nowhere. Abducted along with his people to a menacing mothership orbiting Earth, he sets out to save himself and his girlfriend and eventually his planet.",Mature,Высокая,Нет данных
borderlands,"Action, Shooter, RPG",Нет описания,Adults Only,Высокая,"Soldier Front 2, Little Dungeon Stories, Mobile Suit Gundam Battle Operation 2, Landon, Malevolence"
fallout: new vegas,"Action, Shooter, RPG","In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.",Mature,Высокая,Нет данных
injustice: gods among us ultimate edition,"Action, Arcade, Fighting",Нет описания,Mature,Высокая,Нет данных
the elder scrolls v: skyrim special edition,"Action, RPG",Нет описания,Mature,Средняя,Нет данных
dishonored 2,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
dishonored,"Action, Adventure, RPG","Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal. Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn. The outcome of each mission plays out based on the choices you make.",Mature,Высокая,Нет данных
company of heroes 2,Strategy,Нет описания,Mature,Высокая,"Pet Puzzle, Star Wars: X-Wing Tour of Duty - Imperial Pursuit, LiMiT's Escape Room Games, The Lost Valley, Little Dungeon Stories"
l.a. noire,"Action, Adventure",Нет описания,Mature,Высокая,Нет конкурентов
hellblade: senua's sacrifice,"Action, Adventure, Indie",Нет описания,Mature,Высокая,"Road Doom, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, Mage Guard"
half-life deathmatch: source,Action,Нет описания,Mature,Низкая,Нет данных
super meat boy,"Indie, Platformer",Нет описания,Все возрастные группы,Высокая,Нет данных
sid meier's civilization v,Strategy,Нет описания,Everyone 10+,Высокая,Нет данных
for honor,"Action, Massively Multiplayer","Enter the chaos of war as a bold Knight, a brutal Viking, or a deadly Samurai. Play the thrilling story campaign or fight in brutal PvP modes, all on new dedicated servers. Enjoy an evolved experience with 18 Heroes, 18 maps, new PvP and ranked modes, thousands of gear items, and more.",Mature,Высокая,Нет конкурентов
grand theft auto: vice city,Action,Нет описания,Mature,Высокая,Нет данных
don't starve together,"Action, Simulation, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
assassin’s creed iv: black flag,Action,Нет описания,Mature,Высокая,Нет данных
hitman: absolution,"Action, Shooter",Нет описания,Mature,Высокая,Нет конкурентов
dead space (2008),"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
control,"Action, Shooter, Adventure",Нет описания,Mature,Высокая,"Soldier Front 2, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, The Lost Valley"
uncharted 4: a thief’s end,"Action, Shooter",Нет описания,Teen,Высокая,Нет данных
star wars jedi: fallen order,"Action, Adventure",Нет описания,Teen,Высокая,Нет конкурентов
mass effect 2,"Action, RPG",A remaster of the original Mass Effect 2 included in the Mass Effect: Legendary Edition bundle.,Mature,Высокая,Нет данных
counter-strike: source,Shooter,Нет описания,Mature,Высокая,"Soldier Front 2, Mobile Suit Gundam Battle Operation 2, Malevolence, Chex Quest 4: Flemmed to The Core, Zombie Driver"
death stranding,"Action, Adventure","From legendary game creator Hideo Kojima comes an all-new, genre-defying open world action adventure, starring Norman Reedus, Mads Mikkelsen, Léa Seydoux and Lindsay Wagner. In the near future, mysterious explosions have rocked the globe, setting off a series of supernatural events known as the Death Stranding. With otherworldly creatures plaguing the landscape, and mass extinction imminent, it’s up to Sam Porter Bridges to travel across the ravaged wasteland and save humanity from impending annihilation.",Mature,Высокая,"Soldier Front 2, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, The Lost Valley"
just cause 3,"Action, Shooter",Нет описания,Mature,Средняя,Нет данных
the last of us remastered,"Action, Adventure","The Last of Us Remastered is an updated release of the PS3 game The Last of Us. It is identical to the PS3 version but runs at a 1080p resolution and incorporates character models with a higher resolution. There are also improved shadows and lighting, upgraded textures, 60 frames per second and other types of improvements. In addition to the base game, two map packs and the expansion The Last of Us: Left Behind are included.",Mature,Высокая,Нет конкурентов
borderlands: the pre-sequel,"Action, Shooter, RPG","Shoot 'n' loot your way through a brand new adventure that rockets you onto Pandora's moon in Borderlands: The Pre-Sequel. Discover the story behind Borderlands 2’s villain, Handsome Jack, and his rise to power in this brand new game in the Borderlands series. Taking place between the original Borderlands and Borderlands 2, the Pre-Sequel gives you a whole lotta new gameplay featuring the genre fusion of shooter and RPG gameplay that players can’t get enough of.

Get high in low gravity and launch across the moonscape to take enemies down from above using new ice and laser weapons. Catch-a-ride on the lunar landscape with new vehicles equipped with deadly weapons allowing for more levels of destructive mayhem. So grab a friend (or two, or three), strap on a rocket, and take off on a brand new Borderlands adventure",Все возрастные группы,Средняя,"Soldier Front 2, Little Dungeon Stories, Mobile Suit Gundam Battle Operation 2, Landon, Malevolence"
metal gear solid v: ground zeroes,"Action, Shooter","Metal Gear Solid V: Ground Zeroes is a prologue to Metal Gear Solid V: The Phantom Pain. It offers players new sneaking and traversal methods compared to its predecessors, as well as the choice in what order the story events take place by selecting missions by advance. The most important change for this title is the shift to an open world design with a real-time day and night cycle doing away with the linear mission approach of previous games. The game was originally developed as a mission for The Phantom Pain, but an extended development time resulted in director Hideo Kojima splitting the specific portion of the game as a stand-alone product so that players could get early access to Metal Gear Solid V.",Все возрастные группы,Высокая,Нет данных
metro: last light redux,"Action, Shooter",Нет описания,Все возрастные группы,Высокая,"Soldier Front 2, Meat & Greed, Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition, LiMiT's Escape Room Games, The Lost Valley"
counter-strike,"Action, Shooter","Counter-Strike, the world's most popular online action game and first-person shooter for the PC, makes its console debut exclusively on Xbox and Xbox Live. Counter-Strike for Xbox features single-player missions, taking place over a gritty realistic counterterrorist world. It allows gamers to challenge other players in team-based multiplayer games on Xbox Live and System Link.",Все возрастные группы,Высокая,Нет данных
mortal kombat x,"Action, Fighting",A cancelled port of Mortal Kombat X for PlayStation 3 and Xbox 360.,Mature,Высокая,Нет данных
left 4 dead,"Action, Shooter","From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.

Set in the immediate aftermath of the zombie apocalypse, L4D's survival co-op mode lets you blast a path through the infected in four unique “movies,” guiding your survivors across the rooftops of an abandoned metropolis, through rural ghost towns and pitch-black forests in your quest to escape a devastated Ground Zero crawling with infected enemies. Each ""movie"" is comprised of five large maps, and can be played by one to four human players, with an emphasis on team-based strategy and objectives.

New technology dubbed ""the AI Director"" is used to generate a unique gameplay experience every time you play. The Director tailors the frequency and ferocity of the zombie attacks to your performance, putting you in the middle of a fast-paced, but not overwhelming, Hollywood horror movie.

Addictive single player, co-op, and multiplayer action gameplay from the makers of Counter-Strike and Half-Life Versus Mode lets you compete four-on-four with friends, playing as a human trying to get rescued, or as a zombie boss monster that will stop at nothing to destroy them.",Mature,Высокая,Нет данных
mass effect,"Action, RPG",Нет описания,Mature,Высокая,Нет конкурентов
metro 2033 redux,"Action, Shooter",Нет описания,Mature,Высокая,Нет конкурентов
bioshock 2 remastered,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
fall guys: ultimate knockout,"Action, Sports, Casual, Massively Multiplayer, Indie",Нет описания,Everyone,Высокая,Нет данных
bloodborne,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
just cause 2,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
nier:automata,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
bastion,"Action, Adventure, RPG, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
monster hunter: world,"Action, Adventure, RPG",Нет описания,Teen,Высокая,Нет данных
mad max,"Action, Adventure",Нет описания,Mature,Средняя,Нет данных
journey,"Adventure, Family, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
minecraft,"Action, Simulation, Arcade, Massively Multiplayer, Indie",Нет описания,Everyone 10+,Высокая,Нет данных
resident evil 7: biohazard,"Action, Shooter, Adventure",Нет описания,Mature,Высокая,Нет данных
ark: survival of the fittest,"Action, RPG, Strategy, Massively Multiplayer, Indie",Нет описания,Teen,Низкая,Нет данных
hades,"Action, Adventure, RPG, Indie",Нет описания,Teen,Высокая,Нет данных
paladins,"Action, Shooter",Нет описания,Teen,Высокая,Нет данных
cities: skylines,"Strategy, Simulation",Нет описания,Everyone,Высокая,Нет данных
xcom: enemy unknown,Strategy,Нет описания,Все возрастные группы,Высокая,Нет данных
titanfall 2,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
batman: arkham city - game of the year edition,"Action, Adventure",Нет описания,Teen,Высокая,Нет данных
middle-earth: shadow of war,"Action, RPG",Нет описания,Mature,Высокая,Нет данных
brutal legend,"Action, Strategy",Нет описания,Все возрастные группы,Высокая,Нет данных
brothers: a tale of two sons,"Action, Adventure, Indie",Нет описания,Teen,Высокая,Нет данных
batman: arkham asylum game of the year edition,"Action, Adventure, Platformer",Нет описания,Все возрастные группы,Высокая,Нет данных
sega mega drive and genesis classics,"Action, Adventure, RPG, Fighting, Platformer",Нет описания,Teen,Высокая,Нет данных
